id,team,team_file_name
1,Arsenal,"'understat_Arsenal.csv',"
2,Aston Villa,'understat_Aston_Villa.csv'
3,Brighton and Hove Albion,'understat_Brighton.csv'
4,Burnley,'understat_Burnley.csv'
5,Chelsea,'understat_Chelsea.csv'
6,Crystal Palace,'understat_Crystal_Palace.csv'
7,Everton,'understat_Everton.csv'
8,Fulham,'understat_Fulham.csv'
10,Leeds United,'understat_Leeds.csv'
9,Leicester City,'understat_Leicester.csv'
11,Liverpool,'understat_Liverpool.csv'
12,Manchester City,'understat_Manchester_City.csv'
13,Manchester United,'understat_Manchester_United.csv'
14,Newcastle,'understat_Newcastle_United.csv'
15,Sheffield United,'understat_Sheffield_United.csv'
16,Southampton,'understat_Southampton.csv'
17,Tottenham Hotspur,'understat_Tottenham.csv'
18,West Bromwich Albion,'understat_West_Bromwich_Albion.csv'
19,West Ham United,'understat_West_Ham.csv'
20,Wolverhampton,'understat_Wolverhampton_Wanderers.csv'
